Year,Month,Fleet,Sex,Nsamps,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90
1988,6,1,1,11400,9,153,3437,5124,1954,179,194,140,122,57,32,0,0,0,0
1988,6,1,2,1629,1,22,491,732,279,26,28,20,17,8,5,0,0,0,0
1997,6,1,1,330,0,0,0,0,9,44,93,93,44,26,22,0,0,0,0
1997,6,1,2,89,0,0,0,0,1,6,13,13,6,4,3,15,12,10,5
2001,6,1,1,746,0,25,125,177,135,94,88,42,32,14,15,0,0,0,0
2001,6,1,2,139,0,4,18,25,19,13,13,6,5,2,2,17,9,6,0
2003,6,1,1,534,0,0,1,35,92,140,105,61,46,37,18,0,0,0,0
2003,6,1,2,91,0,0,0,5,13,20,15,9,7,5,3,10,5,0,0
1988,6,2,1,11400.375,8.75,153.125,3437,5124,1953.875,178.5,194.25,140,121.625,56.875,32.375,0,0,0,0
1988,6,2,2,1628.625,1.25,21.875,491,732,279.125,25.5,27.75,20,17.375,8.125,4.625,0,0,0,0
1990,6,2,1,625,0,0,0,0,4,26,123,144,151,105,72,0,0,0,0
1990,6,2,2,234,0,0,0,0,1,4,18,21,22,15,10,65,60,20,0
2008,6,2,1,850,0,7,52,158,201,135,126,75,53,37,7,0,0,0,0
2008,6,2,2,150,0,1,7,23,29,19,18,11,8,5,1,10,0,19,0
2022,10,2,1,2767,0,2,50,472,522,756,330,301,126,139,69,0,0,0,0
2022,10,2,2,606,0,0,7,67,75,108,47,43,18,20,10,104,48,38,21
1984,6,3,1,1173,0,18,79,88,96,105,175,166,158,140,149,0,0,0,0
1984,6,3,2,648,0,3,11,13,14,15,25,24,23,20,21,130,130,100,120
1985,6,3,1,1374,26,44,96,123,140,149,184,175,158,140,140,0,0,0,0
1985,6,3,2,516,4,6,14,18,20,21,26,25,23,20,20,140,100,50,30
1986,6,3,1,1873,9,44,219,210,193,184,214,201,206,201,193,0,0,0,0
1986,6,3,2,868,1,6,31,30,28,26,31,29,29,29,28,200,180,170,50
1987,6,3,1,1343,9,53,131,140,144,140,175,158,140,131,123,0,0,0,0
1987,6,3,2,617,1,8,19,20,21,20,25,23,20,19,18,130,130,110,55
1988,6,3,1,744,0,9,26,88,131,88,79,70,79,88,88,0,0,0,0
1988,6,3,2,306,0,1,4,13,19,13,11,10,11,13,13,70,60,40,30
1989,6,3,1,879,0,13,22,39,44,79,175,123,158,149,79,0,0,0,0
1989,6,3,2,496,0,2,3,6,6,11,25,18,23,21,11,110,90,100,70
